trip_id,arrival_time,departure_time,stop_id,stop_sequence
11_U_1,07:55:00,07:55:00,-7978747450465050333,1
11_U_1,07:56:00,07:56:00,3296271802036003081,2
11_U_1,07:58:00,07:58:00,1049215841727389041,3
11_U_1,08:00:00,08:00:00,-5726904257136342933,4
11_U_1,08:01:00,08:01:00,3449979680681364563,5
11_U_1,08:02:20,08:02:20,4633092720674564125,6
11_U_1,08:03:40,08:03:40,7365573631076063212,7
11_U_1,08:05:00,08:05:00,-4437974693873153127,8
11_U_1,08:06:30,08:06:30,1404690494610635814,9
11_U_1,08:08:00,08:08:00,6648252636946330296,10
11_U_1,08:09:30,08:09:30,157321904888292943,11
11_U_1,08:11:00,08:11:00,3669347682309318554,12
11_U_1,08:12:45,08:12:45,157321904888292943,13
11_U_1,08:14:30,08:14:30,6648252636946330296,14
11_U_1,08:16:15,08:16:15,1404690494610635814,15
11_U_1,08:18:00,08:18:00,-4437974693873153127,16
11_U_1,08:19:40,08:19:40,-6125832270136671136,17
11_U_1,08:21:20,08:21:20,1296326338167383190,18
11_U_1,08:23:00,08:23:00,-7978747450465050333,19
11_U_2,08:20:00,08:20:00,-7978747450465050333,1
11_U_2,08:21:00,08:21:00,3296271802036003081,2
11_U_2,08:23:00,08:23:00,1049215841727389041,3
11_U_2,08:25:00,08:25:00,-5726904257136342933,4
11_U_2,08:26:00,08:26:00,3449979680681364563,5
11_U_2,08:27:20,08:27:20,4633092720674564125,6
11_U_2,08:28:40,08:28:40,7365573631076063212,7
11_U_2,08:30:00,08:30:00,-4437974693873153127,8
11_U_2,08:31:30,08:31:30,1404690494610635814,9
11_U_2,08:33:00,08:33:00,6648252636946330296,10
11_U_2,08:34:30,08:34:30,157321904888292943,11
11_U_2,08:36:00,08:36:00,3669347682309318554,12
11_U_2,08:37:45,08:37:45,157321904888292943,13
11_U_2,08:39:30,08:39:30,6648252636946330296,14
11_U_2,08:41:15,08:41:15,1404690494610635814,15
11_U_2,08:43:00,08:43:00,-4437974693873153127,16
11_U_2,08:44:40,08:44:40,-6125832270136671136,17
11_U_2,08:46:20,08:46:20,1296326338167383190,18
11_U_2,08:48:00,08:48:00,-7978747450465050333,19
11_U_3,08:25:00,08:25:00,-7978747450465050333,1
11_U_3,08:26:00,08:26:00,3296271802036003081,2
11_U_3,08:28:00,08:28:00,1049215841727389041,3
11_U_3,08:30:00,08:30:00,-5726904257136342933,4
11_U_3,08:31:00,08:31:00,3449979680681364563,5
11_U_3,08:32:20,08:32:20,4633092720674564125,6
11_U_3,08:33:40,08:33:40,7365573631076063212,7
11_U_3,08:35:00,08:35:00,-4437974693873153127,8
11_U_3,08:36:30,08:36:30,1404690494610635814,9
11_U_3,08:38:00,08:38:00,6648252636946330296,10
11_U_3,08:39:30,08:39:30,157321904888292943,11
11_U_3,08:41:00,08:41:00,3669347682309318554,12
11_U_3,08:42:45,08:42:45,157321904888292943,13
11_U_3,08:44:30,08:44:30,6648252636946330296,14
11_U_3,08:46:15,08:46:15,1404690494610635814,15
11_U_3,08:48:00,08:48:00,-4437974693873153127,16
11_U_3,08:49:40,08:49:40,-6125832270136671136,17
11_U_3,08:51:20,08:51:20,1296326338167383190,18
11_U_3,08:53:00,08:53:00,-7978747450465050333,19
11_U_4,08:50:00,08:50:00,-7978747450465050333,1
11_U_4,08:51:00,08:51:00,3296271802036003081,2
11_U_4,08:53:00,08:53:00,1049215841727389041,3
11_U_4,08:55:00,08:55:00,-5726904257136342933,4
11_U_4,08:56:00,08:56:00,3449979680681364563,5
11_U_4,08:57:20,08:57:20,4633092720674564125,6
11_U_4,08:58:40,08:58:40,7365573631076063212,7
11_U_4,09:00:00,09:00:00,-4437974693873153127,8
11_U_4,09:01:30,09:01:30,1404690494610635814,9
11_U_4,09:03:00,09:03:00,6648252636946330296,10
11_U_4,09:04:30,09:04:30,157321904888292943,11
11_U_4,09:06:00,09:06:00,3669347682309318554,12
11_U_4,09:07:45,09:07:45,157321904888292943,13
11_U_4,09:09:30,09:09:30,6648252636946330296,14
11_U_4,09:11:15,09:11:15,1404690494610635814,15
11_U_4,09:13:00,09:13:00,-4437974693873153127,16
11_U_4,09:14:40,09:14:40,-6125832270136671136,17
11_U_4,09:16:20,09:16:20,1296326338167383190,18
11_U_4,09:18:00,09:18:00,-7978747450465050333,19
11_U_5,08:57:00,08:57:00,-7978747450465050333,1
11_U_5,08:58:00,08:58:00,3296271802036003081,2
11_U_5,09:00:00,09:00:00,1049215841727389041,3
11_U_5,09:02:00,09:02:00,-5726904257136342933,4
11_U_5,09:03:00,09:03:00,3449979680681364563,5
11_U_5,09:04:20,09:04:20,4633092720674564125,6
11_U_5,09:05:40,09:05:40,7365573631076063212,7
11_U_5,09:07:00,09:07:00,-4437974693873153127,8
11_U_5,09:08:30,09:08:30,1404690494610635814,9
11_U_5,09:10:00,09:10:00,6648252636946330296,10
11_U_5,09:11:30,09:11:30,157321904888292943,11
11_U_5,09:13:00,09:13:00,3669347682309318554,12
11_U_5,09:14:45,09:14:45,157321904888292943,13
11_U_5,09:16:30,09:16:30,6648252636946330296,14
11_U_5,09:18:15,09:18:15,1404690494610635814,15
11_U_5,09:20:00,09:20:00,-4437974693873153127,16
11_U_5,09:21:40,09:21:40,-6125832270136671136,17
11_U_5,09:23:20,09:23:20,1296326338167383190,18
11_U_5,09:25:00,09:25:00,-7978747450465050333,19
11_U_6,09:20:00,09:20:00,-7978747450465050333,1
11_U_6,09:21:00,09:21:00,3296271802036003081,2
11_U_6,09:23:00,09:23:00,1049215841727389041,3
11_U_6,09:25:00,09:25:00,-5726904257136342933,4
11_U_6,09:26:00,09:26:00,3449979680681364563,5
11_U_6,09:27:20,09:27:20,4633092720674564125,6
11_U_6,09:28:40,09:28:40,7365573631076063212,7
11_U_6,09:30:00,09:30:00,-4437974693873153127,8
