service_id,date,exception_type
SAB,20241005,2
DOM,20241005,1
UTEIS,20241101,2
DOM,20241101,1
UTEIS,20241218,2
UTEIS,20241219,2
UTEIS,20241220,2
SAB,20241221,2
DOM,20241222,2
UTEIS,20241223,2
UTEIS,20241224,2
UTEIS,20241225,2
UTEISFE,20241225,2
DOM,20241225,1
UTEIS,20241226,2
UTEIS,20241227,2
SAB,20241228,2
DOM,20241229,2
UTEIS,20241230,2
UTEIS,20241231,2
UTEIS,20250101,2
UTEISFE,20250101,2
DOM,20250101,1
UTEIS,20250102,2
UTEIS,20250103,2
UTEIS,20250303,2
UTEIS,20250304,2
UTEIS,20250305,2
UTEISFE,20250303,1
DOM,20250304,1
UTEISFE,20250305,1
UTEIS,20250407,2
UTEIS,20250408,2
UTEIS,20250409,2
UTEIS,20250410,2
UTEIS,20250411,2
UTEIS,20250414,2
UTEIS,20250415,2
UTEIS,20250416,2
UTEIS,20250417,2
UTEIS,20250418,2
UTEIS,20250421,2
UTEISFE,20250407,1
UTEISFE,20250408,1
UTEISFE,20250409,1
UTEISFE,20250410,1
UTEISFE,20250411,1
UTEISFE,20250414,1
UTEISFE,20250415,1
UTEISFE,20250416,1
UTEISFE,20250417,1
SAB,20250418,1
UTEISFE,20250421,1
UTEIS,20250425,2
DOM,20250425,1
UTEIS,20250501,2
DOM,20250501,1
UTEIS,20250610,2
DOM,20250610,1
